timestamp,street_name,vehicle_count,vehicle_type
2025-05-06 00:00:00,Passeig de Gràcia,184,bus
2025-05-06 00:00:00,Avinguda Diagonal,440,motorcycle
2025-05-06 00:00:00,Carrer de Balmes,189,bus
2025-05-06 00:00:00,Via Laietana,292,truck
2025-05-06 00:00:00,Gran Via de les Corts Catalanes,441,truck
2025-05-06 00:00:00,Carrer d'Aragó,284,bus
2025-05-06 00:15:00,Passeig de Gràcia,388,motorcycle
2025-05-06 00:15:00,Avinguda Diagonal,357,bus
2025-05-06 00:15:00,Carrer de Balmes,454,car
2025-05-06 00:15:00,Via Laietana,282,bus
2025-05-06 00:15:00,Gran Via de les Corts Catalanes,63,truck
2025-05-06 00:15:00,Carrer d'Aragó,159,motorcycle
2025-05-06 00:30:00,Passeig de Gràcia,185,bus
2025-05-06 00:30:00,Avinguda Diagonal,366,motorcycle
2025-05-06 00:30:00,Carrer de Balmes,51,truck
2025-05-06 00:30:00,Via Laietana,176,car
2025-05-06 00:30:00,Gran Via de les Corts Catalanes,412,truck
2025-05-06 00:30:00,Carrer d'Aragó,251,bus
2025-05-06 00:45:00,Passeig de Gràcia,95,truck
2025-05-06 00:45:00,Avinguda Diagonal,467,motorcycle
2025-05-06 00:45:00,Carrer de Balmes,203,car
2025-05-06 00:45:00,Via Laietana,52,motorcycle
2025-05-06 00:45:00,Gran Via de les Corts Catalanes,58,truck
2025-05-06 00:45:00,Carrer d'Aragó,135,motorcycle
2025-05-06 01:00:00,Passeig de Gràcia,438,motorcycle
2025-05-06 01:00:00,Avinguda Diagonal,229,truck
2025-05-06 01:00:00,Carrer de Balmes,83,car
2025-05-06 01:00:00,Via Laietana,228,motorcycle
2025-05-06 01:00:00,Gran Via de les Corts Catalanes,253,truck
2025-05-06 01:00:00,Carrer d'Aragó,94,car
2025-05-06 01:15:00,Passeig de Gràcia,91,car
2025-05-06 01:15:00,Avinguda Diagonal,323,motorcycle
2025-05-06 01:15:00,Carrer de Balmes,379,bus
2025-05-06 01:15:00,Via Laietana,201,motorcycle
2025-05-06 01:15:00,Gran Via de les Corts Catalanes,452,car
2025-05-06 01:15:00,Carrer d'Aragó,134,bus
2025-05-06 01:30:00,Passeig de Gràcia,165,motorcycle
2025-05-06 01:30:00,Avinguda Diagonal,69,motorcycle
2025-05-06 01:30:00,Carrer de Balmes,197,car
2025-05-06 01:30:00,Via Laietana,81,bus
2025-05-06 01:30:00,Gran Via de les Corts Catalanes,275,bus
2025-05-06 01:30:00,Carrer d'Aragó,316,motorcycle
2025-05-06 01:45:00,Passeig de Gràcia,287,bus
2025-05-06 01:45:00,Avinguda Diagonal,498,motorcycle
2025-05-06 01:45:00,Carrer de Balmes,446,bus
2025-05-06 01:45:00,Via Laietana,310,bus
2025-05-06 01:45:00,Gran Via de les Corts Catalanes,314,car
2025-05-06 01:45:00,Carrer d'Aragó,289,car
2025-05-06 02:00:00,Passeig de Gràcia,382,truck
2025-05-06 02:00:00,Avinguda Diagonal,257,car
2025-05-06 02:00:00,Carrer de Balmes,62,car
2025-05-06 02:00:00,Via Laietana,283,motorcycle
2025-05-06 02:00:00,Gran Via de les Corts Catalanes,52,car
2025-05-06 02:00:00,Carrer d'Aragó,277,motorcycle
2025-05-06 02:15:00,Passeig de Gràcia,441,truck
2025-05-06 02:15:00,Avinguda Diagonal,384,motorcycle
2025-05-06 02:15:00,Carrer de Balmes,210,bus
2025-05-06 02:15:00,Via Laietana,354,truck
2025-05-06 02:15:00,Gran Via de les Corts Catalanes,464,truck
2025-05-06 02:15:00,Carrer d'Aragó,467,car
2025-05-06 02:30:00,Passeig de Gràcia,277,car
2025-05-06 02:30:00,Avinguda Diagonal,106,car
2025-05-06 02:30:00,Carrer de Balmes,276,car
2025-05-06 02:30:00,Via Laietana,343,motorcycle
2025-05-06 02:30:00,Gran Via de les Corts Catalanes,476,car
2025-05-06 02:30:00,Carrer d'Aragó,68,bus
2025-05-06 02:45:00,Passeig de Gràcia,365,car
2025-05-06 02:45:00,Avinguda Diagonal,137,car
2025-05-06 02:45:00,Carrer de Balmes,187,bus
2025-05-06 02:45:00,Via Laietana,200,car
2025-05-06 02:45:00,Gran Via de les Corts Catalanes,464,bus
2025-05-06 02:45:00,Carrer d'Aragó,221,motorcycle
2025-05-06 03:00:00,Passeig de Gràcia,279,bus
2025-05-06 03:00:00,Avinguda Diagonal,166,truck
2025-05-06 03:00:00,Carrer de Balmes,169,bus
2025-05-06 03:00:00,Via Laietana,389,motorcycle
2025-05-06 03:00:00,Gran Via de les Corts Catalanes,409,bus
2025-05-06 03:00:00,Carrer d'Aragó,241,truck
2025-05-06 03:15:00,Passeig de Gràcia,167,car
2025-05-06 03:15:00,Avinguda Diagonal,295,car
2025-05-06 03:15:00,Carrer de Balmes,469,truck
2025-05-06 03:15:00,Via Laietana,422,truck
