timestamp,street_name,vehicle_count,vehicle_type
2025-05-06 00:00:00,Oxford Street,140,truck
2025-05-06 00:00:00,Regent Street,490,car
2025-05-06 00:00:00,Piccadilly,195,truck
2025-05-06 00:00:00,Bond Street,99,car
2025-05-06 00:00:00,Baker Street,168,motorcycle
2025-05-06 00:00:00,Tottenham Court Road,354,truck
2025-05-06 00:15:00,Oxford Street,65,bus
2025-05-06 00:15:00,Regent Street,379,motorcycle
2025-05-06 00:15:00,Piccadilly,338,truck
2025-05-06 00:15:00,Bond Street,305,car
2025-05-06 00:15:00,Baker Street,437,car
2025-05-06 00:15:00,Tottenham Court Road,139,truck
2025-05-06 00:30:00,Oxford Street,152,bus
2025-05-06 00:30:00,Regent Street,445,motorcycle
2025-05-06 00:30:00,Piccadilly,476,truck
2025-05-06 00:30:00,Bond Street,428,motorcycle
2025-05-06 00:30:00,Baker Street,372,motorcycle
2025-05-06 00:30:00,Tottenham Court Road,412,bus
2025-05-06 00:45:00,Oxford Street,355,car
2025-05-06 00:45:00,Regent Street,91,truck
2025-05-06 00:45:00,Piccadilly,357,truck
2025-05-06 00:45:00,Bond Street,351,truck
2025-05-06 00:45:00,Baker Street,366,truck
2025-05-06 00:45:00,Tottenham Court Road,62,car
2025-05-06 01:00:00,Oxford Street,169,truck
2025-05-06 01:00:00,Regent Street,277,car
2025-05-06 01:00:00,Piccadilly,431,bus
2025-05-06 01:00:00,Bond Street,214,motorcycle
2025-05-06 01:00:00,Baker Street,186,car
2025-05-06 01:00:00,Tottenham Court Road,388,bus
2025-05-06 01:15:00,Oxford Street,75,motorcycle
2025-05-06 01:15:00,Regent Street,411,bus
2025-05-06 01:15:00,Piccadilly,358,car
2025-05-06 01:15:00,Bond Street,91,truck
2025-05-06 01:15:00,Baker Street,359,truck
2025-05-06 01:15:00,Tottenham Court Road,325,truck
2025-05-06 01:30:00,Oxford Street,150,motorcycle
2025-05-06 01:30:00,Regent Street,346,motorcycle
2025-05-06 01:30:00,Piccadilly,433,bus
2025-05-06 01:30:00,Bond Street,369,truck
2025-05-06 01:30:00,Baker Street,329,truck
2025-05-06 01:30:00,Tottenham Court Road,445,motorcycle
2025-05-06 01:45:00,Oxford Street,337,truck
2025-05-06 01:45:00,Regent Street,94,truck
2025-05-06 01:45:00,Piccadilly,330,car
2025-05-06 01:45:00,Bond Street,402,car
2025-05-06 01:45:00,Baker Street,415,truck
2025-05-06 01:45:00,Tottenham Court Road,177,truck
2025-05-06 02:00:00,Oxford Street,475,truck
2025-05-06 02:00:00,Regent Street,272,motorcycle
2025-05-06 02:00:00,Piccadilly,432,truck
2025-05-06 02:00:00,Bond Street,409,motorcycle
2025-05-06 02:00:00,Baker Street,85,bus
2025-05-06 02:00:00,Tottenham Court Road,418,car
2025-05-06 02:15:00,Oxford Street,195,motorcycle
2025-05-06 02:15:00,Regent Street,394,motorcycle
