timestamp,street_name,vehicle_count,vehicle_type
2025-05-06 00:00:00,Corso Buenos Aires,71,bus
2025-05-06 00:00:00,Viale Monza,367,motorcycle
2025-05-06 00:00:00,Corso Venezia,316,truck
2025-05-06 00:00:00,Via Torino,256,truck
2025-05-06 00:00:00,Corso Garibaldi,248,motorcycle
2025-05-06 00:00:00,Viale Papiniano,187,bus
2025-05-06 00:15:00,Corso Buenos Aires,426,bus
2025-05-06 00:15:00,Viale Monza,444,truck
2025-05-06 00:15:00,Corso Venezia,248,truck
2025-05-06 00:15:00,Via Torino,404,car
2025-05-06 00:15:00,Corso Garibaldi,308,truck
2025-05-06 00:15:00,Viale Papiniano,394,bus
2025-05-06 00:30:00,Corso Buenos Aires,118,bus
2025-05-06 00:30:00,Viale Monza,438,car
2025-05-06 00:30:00,Corso Venezia,426,bus
2025-05-06 00:30:00,Via Torino,218,truck
2025-05-06 00:30:00,Corso Garibaldi,268,car
2025-05-06 00:30:00,Viale Papiniano,95,bus
2025-05-06 00:45:00,Corso Buenos Aires,153,truck
2025-05-06 00:45:00,Viale Monza,357,motorcycle
2025-05-06 00:45:00,Corso Venezia,135,bus
2025-05-06 00:45:00,Via Torino,241,truck
2025-05-06 00:45:00,Corso Garibaldi,387,car
2025-05-06 00:45:00,Viale Papiniano,256,car
2025-05-06 01:00:00,Corso Buenos Aires,249,motorcycle
2025-05-06 01:00:00,Viale Monza,394,truck
2025-05-06 01:00:00,Corso Venezia,217,truck
2025-05-06 01:00:00,Via Torino,482,motorcycle
2025-05-06 01:00:00,Corso Garibaldi,166,bus
2025-05-06 01:00:00,Viale Papiniano,478,car
2025-05-06 01:15:00,Corso Buenos Aires,73,bus
2025-05-06 01:15:00,Viale Monza,229,car
2025-05-06 01:15:00,Corso Venezia,491,bus
2025-05-06 01:15:00,Via Torino,79,car
2025-05-06 01:15:00,Corso Garibaldi,161,car
2025-05-06 01:15:00,Viale Papiniano,456,truck
2025-05-06 01:30:00,Corso Buenos Aires,56,car
2025-05-06 01:30:00,Viale Monza,437,truck
2025-05-06 01:30:00,Corso Venezia,323,car
2025-05-06 01:30:00,Via Torino,218,bus
2025-05-06 01:30:00,Corso Garibaldi,247,bus
2025-05-06 01:30:00,Viale Papiniano,192,truck
2025-05-06 01:45:00,Corso Buenos Aires,142,motorcycle
2025-05-06 01:45:00,Viale Monza,354,bus
2025-05-06 01:45:00,Corso Venezia,287,bus
2025-05-06 01:45:00,Via Torino,273,bus
2025-05-06 01:45:00,Corso Garibaldi,295,bus
2025-05-06 01:45:00,Viale Papiniano,340,motorcycle
2025-05-06 02:00:00,Corso Buenos Aires,190,bus
2025-05-06 02:00:00,Viale Monza,414,car
2025-05-06 02:00:00,Corso Venezia,88,bus
2025-05-06 02:00:00,Via Torino,446,truck
2025-05-06 02:00:00,Corso Garibaldi,422,motorcycle
2025-05-06 02:00:00,Viale Papiniano,154,motorcycle
2025-05-06 02:15:00,Corso Buenos Aires,248,truck
2025-05-06 02:15:00,Viale Monza,284,motorcycle
2025-05-06 02:15:00,Corso Venezia,214,motorcycle
2025-05-06 02:15:00,Via Torino,154,bus
2025-05-06 02:15:00,Corso Garibaldi,132,motorcycle
2025-05-06 02:15:00,Viale Papiniano,358,bus
2025-05-06 02:30:00,Corso Buenos Aires,79,motorcycle
2025-05-06 02:30:00,Viale Monza,459,car
2025-05-06 02:30:00,Corso Venezia,362,car
2025-05-06 02:30:00,Via Torino,326,truck
2025-05-06 02:30:00,Corso Garibaldi,243,truck
2025-05-06 02:30:00,Viale Papiniano,435,motorcycle
2025-05-06 02:45:00,Corso Buenos Aires,238,bus
2025-05-06 02:45:00,Viale Monza,151,bus
2025-05-06 02:45:00,Corso Venezia,457,bus
2025-05-06 02:45:00,Via Torino,177,motorcycle
2025-05-06 02:45:00,Corso Garibaldi,498,truck
2025-05-06 02:45:00,Viale Papiniano,278,motorcycle
2025-05-06 03:00:00,Corso Buenos Aires,368,bus
2025-05-06 03:00:00,Viale Monza,329,truck
2025-05-06 03:00:00,Corso Venezia,173,motorcycle
2025-05-06 03:00:00,Via Torino,136,motorcycle
2025-05-06 03:00:00,Corso Garibaldi,96,bus
2025-05-06 03:00:00,Viale Papiniano,252,motorcycle
2025-05-06 03:15:00,Corso Buenos Aires,332,car
2025-05-06 03:15:00,Viale Monza,461,bus
2025-05-06 03:15:00,Corso Venezia,242,truck
2025-05-06 03:15:00,Via Torino,280,car
2025-05-06 03:15:00,Corso Garibaldi,283,truck
2025-05-06 03:15:00,Viale Papiniano,483,car
2025-05-06 03:30:00,Corso Buenos Aires,238,car
2025-05-06 03:30:00,Viale Monza,257,car
2025-05-06 03:30:00,Corso Venezia,309,truck
2025-05-06 03:30:00,Via Torino,57,car
2025-05-06 03:30:00,Corso Garibaldi,322,truck
2025-05-06 03:30:00,Viale Papiniano,179,truck
2025-05-06 03:45:00,Corso Buenos Aires,282,motorcycle
2025-05-06 03:45:00,Viale Monza,287,car
2025-05-06 03:45:00,Corso Venezia,105,motorcycle
2025-05-06 03:45:00,Via Torino,146,motorcycle
2025-05-06 03:45:00,Corso Garibaldi,86,truck
2025-05-06 03:45:00,Viale Papiniano,162,truck
