timestamp,street_name,vehicle_count,vehicle_type
2025-05-06 00:00:00,Champs-Élysées,307,car
2025-05-06 00:00:00,Rue de Rivoli,159,bus
2025-05-06 00:00:00,Boulevard Haussmann,421,bus
2025-05-06 00:00:00,Avenue Montaigne,210,car
2025-05-06 00:00:00,Rue Saint-Honoré,257,motorcycle
2025-05-06 00:00:00,Boulevard Saint-Michel,100,car
2025-05-06 00:15:00,Champs-Élysées,345,car
2025-05-06 00:15:00,Rue de Rivoli,132,car
2025-05-06 00:15:00,Boulevard Haussmann,484,car
2025-05-06 00:15:00,Avenue Montaigne,106,motorcycle
2025-05-06 00:15:00,Rue Saint-Honoré,383,car
2025-05-06 00:15:00,Boulevard Saint-Michel,338,bus
2025-05-06 00:30:00,Champs-Élysées,203,motorcycle
2025-05-06 00:30:00,Rue de Rivoli,149,motorcycle
2025-05-06 00:30:00,Boulevard Haussmann,156,motorcycle
2025-05-06 00:30:00,Avenue Montaigne,151,motorcycle
2025-05-06 00:30:00,Rue Saint-Honoré,65,bus
2025-05-06 00:30:00,Boulevard Saint-Michel,84,car
2025-05-06 00:45:00,Champs-Élysées,154,truck
2025-05-06 00:45:00,Rue de Rivoli,269,truck
2025-05-06 00:45:00,Boulevard Haussmann,201,bus
2025-05-06 00:45:00,Avenue Montaigne,368,motorcycle
2025-05-06 00:45:00,Rue Saint-Honoré,359,car
2025-05-06 00:45:00,Boulevard Saint-Michel,478,bus
2025-05-06 01:00:00,Champs-Élysées,487,car
2025-05-06 01:00:00,Rue de Rivoli,180,bus
2025-05-06 01:00:00,Boulevard Haussmann,419,bus
2025-05-06 01:00:00,Avenue Montaigne,386,bus
2025-05-06 01:00:00,Rue Saint-Honoré,142,motorcycle
2025-05-06 01:00:00,Boulevard Saint-Michel,147,bus
2025-05-06 01:15:00,Champs-Élysées,466,motorcycle
2025-05-06 01:15:00,Rue de Rivoli,92,bus
2025-05-06 01:15:00,Boulevard Haussmann,339,truck
2025-05-06 01:15:00,Avenue Montaigne,302,motorcycle
2025-05-06 01:15:00,Rue Saint-Honoré,301,bus
2025-05-06 01:15:00,Boulevard Saint-Michel,348,bus
2025-05-06 01:30:00,Champs-Élysées,85,bus
2025-05-06 01:30:00,Rue de Rivoli,355,car
2025-05-06 01:30:00,Boulevard Haussmann,491,truck
2025-05-06 01:30:00,Avenue Montaigne,145,car
2025-05-06 01:30:00,Rue Saint-Honoré,379,bus
2025-05-06 01:30:00,Boulevard Saint-Michel,357,bus
2025-05-06 01:45:00,Champs-Élysées,476,truck
2025-05-06 01:45:00,Rue de Rivoli,394,motorcycle
2025-05-06 01:45:00,Boulevard Haussmann,117,car
2025-05-06 01:45:00,Avenue Montaigne,433,bus
2025-05-06 01:45:00,Rue Saint-Honoré,470,car
2025-05-06 01:45:00,Boulevard Saint-Michel,329,car
2025-05-06 02:00:00,Champs-Élysées,435,motorcycle
2025-05-06 02:00:00,Rue de Rivoli,183,bus
2025-05-06 02:00:00,Boulevard Haussmann,429,car
2025-05-06 02:00:00,Avenue Montaigne,201,car
2025-05-06 02:00:00,Rue Saint-Honoré,110,car
2025-05-06 02:00:00,Boulevard Saint-Michel,185,truck
2025-05-06 02:15:00,Champs-Élysées,99,car
2025-05-06 02:15:00,Rue de Rivoli,352,bus
2025-05-06 02:15:00,Boulevard Haussmann,482,motorcycle
2025-05-06 02:15:00,Avenue Montaigne,384,motorcycle
2025-05-06 02:15:00,Rue Saint-Honoré,341,car
2025-05-06 02:15:00,Boulevard Saint-Michel,444,car
2025-05-06 02:30:00,Champs-Élysées,250,truck
2025-05-06 02:30:00,Rue de Rivoli,443,car
2025-05-06 02:30:00,Boulevard Haussmann,124,truck
2025-05-06 02:30:00,Avenue Montaigne,105,truck
2025-05-06 02:30:00,Rue Saint-Honoré,189,car
2025-05-06 02:30:00,Boulevard Saint-Michel,143,bus
2025-05-06 02:45:00,Champs-Élysées,475,bus
2025-05-06 02:45:00,Rue de Rivoli,77,car
2025-05-06 02:45:00,Boulevard Haussmann,418,car
2025-05-06 02:45:00,Avenue Montaigne,157,car
2025-05-06 02:45:00,Rue Saint-Honoré,355,truck
2025-05-06 02:45:00,Boulevard Saint-Michel,228,bus
2025-05-06 03:00:00,Champs-Élysées,145,car
2025-05-06 03:00:00,Rue de Rivoli,446,truck
2025-05-06 03:00:00,Boulevard Haussmann,51,truck
2025-05-06 03:00:00,Avenue Montaigne,132,motorcycle
2025-05-06 03:00:00,Rue Saint-Honoré,357,car
2025-05-06 03:00:00,Boulevard Saint-Michel,166,motorcycle
2025-05-06 03:15:00,Champs-Élysées,308,car
2025-05-06 03:15:00,Rue de Rivoli,303,bus
2025-05-06 03:15:00,Boulevard Haussmann,318,bus
2025-05-06 03:15:00,Avenue Montaigne,258,truck
2025-05-06 03:15:00,Rue Saint-Honoré,168,bus
2025-05-06 03:15:00,Boulevard Saint-Michel,83,truck
2025-05-06 03:30:00,Champs-Élysées,219,car
2025-05-06 03:30:00,Rue de Rivoli,394,truck
2025-05-06 03:30:00,Boulevard Haussmann,102,truck
2025-05-06 03:30:00,Avenue Montaigne,399,car
2025-05-06 03:30:00,Rue Saint-Honoré,53,car
2025-05-06 03:30:00,Boulevard Saint-Michel,311,bus
2025-05-06 03:45:00,Champs-Élysées,148,bus
2025-05-06 03:45:00,Rue de Rivoli,153,motorcycle
2025-05-06 03:45:00,Boulevard Haussmann,354,motorcycle
2025-05-06 03:45:00,Avenue Montaigne,448,bus
2025-05-06 03:45:00,Rue Saint-Honoré,293,bus
2025-05-06 03:45:00,Boulevard Saint-Michel,431,motorcycle
2025-05-06 04:00:00,Champs-Élysées,83,bus
2025-05-06 04:00:00,Rue de Rivoli,242,car
2025-05-06 04:00:00,Boulevard Haussmann,325,truck
2025-05-06 04:00:00,Avenue Montaigne,395,bus
2025-05-06 04:00:00,Rue Saint-Honoré,418,car
2025-05-06 04:00:00,Boulevard Saint-Michel,319,car
2025-05-06 04:15:00,Champs-Élysées,50,truck
2025-05-06 04:15:00,Rue de Rivoli,316,truck
2025-05-06 04:15:00,Boulevard Haussmann,435,bus
2025-05-06 04:15:00,Avenue Montaigne,127,truck
2025-05-06 04:15:00,Rue Saint-Honoré,213,car
2025-05-06 04:15:00,Boulevard Saint-Michel,138,truck
2025-05-06 04:30:00,Champs-Élysées,114,motorcycle
2025-05-06 04:30:00,Rue de Rivoli,287,truck
2025-05-06 04:30:00,Boulevard Haussmann,478,bus
2025-05-06 04:30:00,Avenue Montaigne,232,bus
2025-05-06 04:30:00,Rue Saint-Honoré,109,truck
2025-05-06 04:30:00,Boulevard Saint-Michel,251,truck
2025-05-06 04:45:00,Champs-Élysées,276,motorcycle
2025-05-06 04:45:00,Rue de Rivoli,231,truck
2025-05-06 04:45:00,Boulevard Haussmann,477,motorcycle
2025-05-06 04:45:00,Avenue Montaigne,181,car
2025-05-06 04:45:00,Rue Saint-Honoré,390,motorcycle
2025-05-06 04:45:00,Boulevard Saint-Michel,343,bus
2025-05-06 05:00:00,Champs-Élysées,160,bus
2025-05-06 05:00:00,Rue de Rivoli,283,bus
2025-05-06 05:00:00,Boulevard Haussmann,436,truck
2025-05-06 05:00:00,Avenue Montaigne,268,truck
2025-05-06 05:00:00,Rue Saint-Honoré,179,motorcycle
2025-05-06 05:00:00,Boulevard Saint-Michel,357,bus
2025-05-06 05:15:00,Champs-Élysées,347,bus
2025-05-06 05:15:00,Rue de Rivoli,320,car
2025-05-06 05:15:00,Boulevard Haussmann,390,car
2025-05-06 05:15:00,Avenue Montaigne,358,bus
2025-05-06 05:15:00,Rue Saint-Honoré,448,bus
2025-05-06 05:15:00,Boulevard Saint-Michel,281,bus
2025-05-06 05:30:00,Champs-Élysées,302,motorcycle
2025-05-06 05:30:00,Rue de Rivoli,422,bus
2025-05-06 05:30:00,Boulevard Haussmann,66,car
2025-05-06 05:30:00,Avenue Montaigne,328,car
2025-05-06 05:30:00,Rue Saint-Honoré,432,bus
2025-05-06 05:30:00,Boulevard Saint-Michel,293,truck
2025-05-06 05:45:00,Champs-Élysées,337,motorcycle
2025-05-06 05:45:00,Rue de Rivoli,79,bus
2025-05-06 05:45:00,Boulevard Haussmann,318,truck
2025-05-06 05:45:00,Avenue Montaigne,450,bus
2025-05-06 05:45:00,Rue Saint-Honoré,331,bus
2025-05-06 05:45:00,Boulevard Saint-Michel,93,truck
2025-05-06 06:00:00,Champs-Élysées,452,bus
2025-05-06 06:00:00,Rue de Rivoli,77,car
2025-05-06 06:00:00,Boulevard Haussmann,369,bus
2025-05-06 06:00:00,Avenue Montaigne,195,bus
2025-05-06 06:00:00,Rue Saint-Honoré,204,motorcycle
2025-05-06 06:00:00,Boulevard Saint-Michel,126,truck
2025-05-06 06:15:00,Champs-Élysées,397,truck
2025-05-06 06:15:00,Rue de Rivoli,363,motorcycle
2025-05-06 06:15:00,Boulevard Haussmann,425,bus
2025-05-06 06:15:00,Avenue Montaigne,336,truck
2025-05-06 06:15:00,Rue Saint-Honoré,378,car
2025-05-06 06:15:00,Boulevard Saint-Michel,89,truck
2025-05-06 06:30:00,Champs-Élysées,338,truck
2025-05-06 06:30:00,Rue de Rivoli,214,car
2025-05-06 06:30:00,Boulevard Haussmann,164,truck
2025-05-06 06:30:00,Avenue Montaigne,280,bus
2025-05-06 06:30:00,Rue Saint-Honoré,151,bus
2025-05-06 06:30:00,Boulevard Saint-Michel,81,truck
2025-05-06 06:45:00,Champs-Élysées,64,truck
2025-05-06 06:45:00,Rue de Rivoli,83,bus
2025-05-06 06:45:00,Boulevard Haussmann,67,motorcycle
2025-05-06 06:45:00,Avenue Montaigne,383,bus
2025-05-06 06:45:00,Rue Saint-Honoré,320,bus
2025-05-06 06:45:00,Boulevard Saint-Michel,418,bus
2025-05-06 07:00:00,Champs-Élysées,271,bus
