timestamp,street_name,vehicle_count,vehicle_type
2025-05-06 00:00:00,Via del Corso,452,car
2025-05-06 00:00:00,Via Nazionale,366,car
2025-05-06 00:00:00,Via dei Fori Imperiali,477,motorcycle
2025-05-06 00:00:00,Via Appia Nuova,472,bus
2025-05-06 00:00:00,Via Tuscolana,227,car
2025-05-06 00:00:00,Via del Tritone,286,bus
2025-05-06 00:15:00,Via del Corso,392,truck
2025-05-06 00:15:00,Via Nazionale,317,car
2025-05-06 00:15:00,Via dei Fori Imperiali,437,car
2025-05-06 00:15:00,Via Appia Nuova,179,car
2025-05-06 00:15:00,Via Tuscolana,452,car
2025-05-06 00:15:00,Via del Tritone,353,bus
2025-05-06 00:30:00,Via del Corso,254,truck
2025-05-06 00:30:00,Via Nazionale,394,bus
2025-05-06 00:30:00,Via dei Fori Imperiali,462,bus
2025-05-06 00:30:00,Via Appia Nuova,414,bus
2025-05-06 00:30:00,Via Tuscolana,163,truck
2025-05-06 00:30:00,Via del Tritone,384,truck
2025-05-06 00:45:00,Via del Corso,465,car
2025-05-06 00:45:00,Via Nazionale,302,bus
2025-05-06 00:45:00,Via dei Fori Imperiali,485,car
2025-05-06 00:45:00,Via Appia Nuova,224,car
2025-05-06 00:45:00,Via Tuscolana,383,motorcycle
2025-05-06 00:45:00,Via del Tritone,260,car
2025-05-06 01:00:00,Via del Corso,436,motorcycle
2025-05-06 01:00:00,Via Nazionale,478,bus
2025-05-06 01:00:00,Via dei Fori Imperiali,341,motorcycle
2025-05-06 01:00:00,Via Appia Nuova,146,car
2025-05-06 01:00:00,Via Tuscolana,388,truck
2025-05-06 01:00:00,Via del Tritone,259,bus
2025-05-06 01:15:00,Via del Corso,152,motorcycle
2025-05-06 01:15:00,Via Nazionale,418,truck
2025-05-06 01:15:00,Via dei Fori Imperiali,104,motorcycle
2025-05-06 01:15:00,Via Appia Nuova,244,bus
2025-05-06 01:15:00,Via Tuscolana,76,truck
2025-05-06 01:15:00,Via del Tritone,359,truck
2025-05-06 01:30:00,Via del Corso,124,motorcycle
2025-05-06 01:30:00,Via Nazionale,404,truck
2025-05-06 01:30:00,Via dei Fori Imperiali,275,bus
2025-05-06 01:30:00,Via Appia Nuova,451,car
2025-05-06 01:30:00,Via Tuscolana,195,truck
2025-05-06 01:30:00,Via del Tritone,98,bus
2025-05-06 01:45:00,Via del Corso,218,bus
2025-05-06 01:45:00,Via Nazionale,275,car
2025-05-06 01:45:00,Via dei Fori Imperiali,267,motorcycle
2025-05-06 01:45:00,Via Appia Nuova,399,bus
2025-05-06 01:45:00,Via Tuscolana,229,truck
2025-05-06 01:45:00,Via del Tritone,70,motorcycle
2025-05-06 02:00:00,Via del Corso,141,car
2025-05-06 02:00:00,Via Nazionale,279,motorcycle
2025-05-06 02:00:00,Via dei Fori Imperiali,271,bus
2025-05-06 02:00:00,Via Appia Nuova,118,car
2025-05-06 02:00:00,Via Tuscolana,278,car
2025-05-06 02:00:00,Via del Tritone,55,car
2025-05-06 02:15:00,Via del Corso,98,bus
2025-05-06 02:15:00,Via Nazionale,286,bus
2025-05-06 02:15:00,Via dei Fori Imperiali,280,motorcycle
2025-05-06 02:15:00,Via Appia Nuova,133,car
2025-05-06 02:15:00,Via Tuscolana,309,car
2025-05-06 02:15:00,Via del Tritone,320,car
2025-05-06 02:30:00,Via del Corso,472,motorcycle
2025-05-06 02:30:00,Via Nazionale,172,motorcycle
2025-05-06 02:30:00,Via dei Fori Imperiali,69,truck
2025-05-06 02:30:00,Via Appia Nuova,53,motorcycle
2025-05-06 02:30:00,Via Tuscolana,114,motorcycle
2025-05-06 02:30:00,Via del Tritone,333,motorcycle
2025-05-06 02:45:00,Via del Corso,75,bus
2025-05-06 02:45:00,Via Nazionale,471,bus
2025-05-06 02:45:00,Via dei Fori Imperiali,51,motorcycle
2025-05-06 02:45:00,Via Appia Nuova,229,motorcycle
2025-05-06 02:45:00,Via Tuscolana,500,car
2025-05-06 02:45:00,Via del Tritone,271,car
2025-05-06 03:00:00,Via del Corso,336,bus
2025-05-06 03:00:00,Via Nazionale,99,motorcycle
2025-05-06 03:00:00,Via dei Fori Imperiali,311,motorcycle
2025-05-06 03:00:00,Via Appia Nuova,139,car
2025-05-06 03:00:00,Via Tuscolana,207,truck
2025-05-06 03:00:00,Via del Tritone,377,motorcycle
2025-05-06 03:15:00,Via del Corso,313,car
2025-05-06 03:15:00,Via Nazionale,459,bus
2025-05-06 03:15:00,Via dei Fori Imperiali,321,car
2025-05-06 03:15:00,Via Appia Nuova,201,car
2025-05-06 03:15:00,Via Tuscolana,59,truck
2025-05-06 03:15:00,Via del Tritone,248,bus
2025-05-06 03:30:00,Via del Corso,122,bus
2025-05-06 03:30:00,Via Nazionale,278,bus
2025-05-06 03:30:00,Via dei Fori Imperiali,386,motorcycle
2025-05-06 03:30:00,Via Appia Nuova,355,car
2025-05-06 03:30:00,Via Tuscolana,277,truck
2025-05-06 03:30:00,Via del Tritone,151,bus
2025-05-06 03:45:00,Via del Corso,203,car
2025-05-06 03:45:00,Via Nazionale,374,bus
2025-05-06 03:45:00,Via dei Fori Imperiali,321,motorcycle
2025-05-06 03:45:00,Via Appia Nuova,158,bus
2025-05-06 03:45:00,Via Tuscolana,55,bus
2025-05-06 03:45:00,Via del Tritone,480,motorcycle
2025-05-06 04:00:00,Via del Corso,84,motorcycle
2025-05-06 04:00:00,Via Nazionale,365,bus
2025-05-06 04:00:00,Via dei Fori Imperiali,282,bus
2025-05-06 04:00:00,Via Appia Nuova,424,truck
2025-05-06 04:00:00,Via Tuscolana,487,bus
2025-05-06 04:00:00,Via del Tritone,256,truck
